utasazon;nev;szuldatum;telefon
956;"Kelemen Judit";1971.4.2;"(30) 2492121"
957;"Nagy Edina";1947.11.19;"(30) 3973648"
958;"Braun Bernadett";1946.4.29;"(20) 3184741"
959;"Hertelendi Alajos";1937.12.24;"(30) 3697882"
960;"Filkor Szonja";1944.6.21;"(70) 2184697"
961;"Szekeres Pál";1942.10.9;"(30) 1716057"
962;"Balajti Barbara";1958.11.25;"(20) 3586049"
963;"Józsa László";1924.5.18;"(30) 3043223"
964;"Szabó Enikõ";1959.5.3;"(70) 3447652"
965;"Baranyai Lehel";1966.8.21;"(70) 4008443"
966;"Kuhárszky Anikó";1945.2.21;"(30) 4730633"
967;"Illés Nikolett";1926.10.1;"(20) 2194026"
968;"Csutor Zsolt";1920.4.18;"(20) 3175655"
969;"Kalányos Klaudia";1960.5.29;"(30) 4361061"
970;"Szûcs Dávid";1929.5.8;"(30) 4079924"
971;"Cseszneki Zoltán";1947.4.27;"(20) 3661193"
972;"Verpeléti Judit";1953.2.1;"(70) 2973381"
973;"Filkor Bálint";1924.7.20;"(70) 1904446"
974;"Major Bernadett";1937.5.12;"(30) 4108367"
975;"Molnár Szonja";1938.5.23;"(30) 2027371"
976;"Szabó Pál";1972.12.23;"(70) 4566032"
977;"Kuhárszky Kitti";1975.8.2;"(30) 1214194"
978;"Eszes Helga";1963.10.1;"(30) 2485850"
979;"Balajti Pál";1948.9.29;"(20) 1192527"
980;"Császár Lajos";1953.8.9;"(30) 2181042"
981;"Kalas Bálint";1948.12.30;"(30) 1821580"
982;"Verpeléti Zsófia";1963.6.26;"(30) 1596280"
983;"Horkai Helga";1950.4.24;"(30) 2136859"
984;"Molnár Ferenc";1922.5.8;"(70) 4420074"
985;"Gelencsér Gabriella";1964.7.28;"(30) 1182296"
986;"Antal Attila";1933.11.19;"(20) 3373659"
987;"Balajti Attila";1934.7.5;"(70) 2729178"
988;"Halmos Zsófia";1968.3.8;"(30) 4879476"
989;"Varga Enikõ";1948.5.16;"(30) 2018939"
990;"Braun Bernadett";1978.3.12;"(20) 1563331"
991;"Tóth Alajos";1979.9.18;"(30) 4950663"
992;"Nyúzó Péter";1978.11.30;"(30) 2710219"
993;"Solymos Lehel";1920.1.1;"(30) 2027741"
994;"Filkor Nikolett";1928.12.24;"(70) 1449212"
995;"Szabó Dániel";1978.12.22;"(30) 4735460"
996;"Hegyi Bernadett";1927.11.24;"(30) 1066242"
997;"Kovács Dániel";1949.4.3;"(20) 3227594"
998;"Zsengellér Andrea";1922.3.16;"(20) 3035321"
999;"Molnár Helga";1924.7.9;"(30) 3894611"
1000;"Csikós Judit";1934.12.18;"(20) 4874112"
1001;"Lengyel Barbara";1957.3.21;"(20) 2034341"
1002;"Balajti Zoltán";1954.8.12;"(30) 1764017"
1003;"Turai Edina";1960.9.22;"(70) 2512283"
1004;"Hertelendi Miklós";1966.4.25;"(30) 1215160"
1005;"Szûcs László";1921.7.11;"(70) 1492110"
1006;"Zsikla Lajos";1958.2.10;"(30) 2304016"
1007;"Megyeri Klaudia";1956.9.14;"(70) 3145268"
1008;"Magyar Edina";1943.10.8;"(30) 2778153"
1009;"Csutor Pál";1976.9.14;"(20) 1642712"
1010;"Kaló Zsolt";1959.8.19;"(70) 2645630"
1011;"Halmos Ferenc";1933.6.11;"(30) 1320236"
1012;"Horkai Georgina";1931.5.24;"(70) 1750852"
1013;"Darázs Zita";1949.8.25;"(30) 1974174"
1014;"Megyeri Bernadett";1954.12.22;"(30) 4509766"
1015;"Lengyel Roland";1922.11.29;"(20) 3371406"
1016;"Kertész Roland";1947.7.30;"(30) 4865739"
1017;"Antal Kitti";1968.9.17;"(30) 3389199"
1018;"Hertelendi Attila";1930.3.1;"(30) 3544405"
1019;"Latorczai András";1959.2.28;"(30) 3351370"
1020;"Koltai Andrea";1956.5.20;"(30) 1630491"
1021;"Verpeléti Miklós";1927.11.9;"(70) 2958631"
1022;"Szûcs Sándor";1922.6.28;"(20) 3137669"
1023;"Szabó Attila";1974.8.6;"(20) 4091748"
1024;"Kovács Lajos";1948.12.23;"(30) 3686552"
1025;"Gelencsér Alajos";1955.7.5;"(20) 2483812"
1026;"Tolnai Bálint";1924.8.5;"(70) 2908228"
1027;"Vállas Zita";1979.3.6;"(70) 3082970"
1028;"Szûcs Géza";1941.5.24;"(30) 1603559"
1029;"Nagy Enikõ";1972.1.1;"(70) 1970674"
1030;"Cseszneki Ferenc";1966.10.28;"(30) 3561131"
1031;"Cseszneki Anikó";1949.2.4;"(70) 2473624"
1032;"Józsa Sára";1963.7.7;"(30) 4676775"
1033;"Filkor Zsuzsanna";1934.12.7;"(20) 3639918"
1034;"Eszes Pál";1962.9.22;"(20) 4950370"
1035;"Kertész Dénes";1959.1.18;"(30) 3486705"
1036;"Megyeri Roland";1972.10.30;"(20) 4782163"
1037;"Szabó Brigitta";1978.12.22;"(30) 2417313"
1038;"Halmos Alajos";1971.5.23;"(30) 3542413"
1039;"Bethlen Nikolett";1947.12.25;"(20) 4270856"
1040;"Csutor Géza";1955.8.13;"(70) 4501312"
1041;"Hertelendi Klaudia";1953.10.5;"(20) 1533127"
1042;"Gelencsér Tibor";1952.6.18;"(30) 2433567"
1043;"Magyar Judit";1926.7.24;"(30) 2249358"
1044;"Braun Zsuzsanna";1928.11.10;"(20) 4401084"
1045;"Hertelendi Szonja";1955.4.24;"(30) 3694999"
1046;"Szabó László";1959.12.12;"(70) 2158235"
1047;"Józsa Tibor";1963.12.14;"(20) 4778109"
1048;"Major Sára";1946.12.10;"(20) 3489978"
1049;"Hegyi Dániel";1954.8.6;"(70) 2765735"
1050;"Zsolnai Roland";1940.12.29;"(30) 3964151"
1051;"Csikós Judit";1947.10.2;"(70) 1399740"
1052;"Tóth Dániel";1940.11.3;"(30) 1907247"
1053;"Kovács Bálint";1964.6.23;"(30) 2353321"
1054;"Halmos Zsuzsanna";1960.8.29;"(20) 4696278"
1055;"Kalányos Sándor";1935.4.3;"(30) 2553218"
1056;"Zsikla Sándor";1977.2.23;"(20) 2599379"
1057;"Tolnai Tibor";1979.11.1;"(20) 4069029"
1058;"Molnár Tibor";1970.6.27;"(30) 1171480"
1059;"Józsa Etelka";1924.4.18;"(70) 2638881"
1060;"Braun Andrea";1935.8.27;"(70) 1356413"
1061;"Kuhárszky Zsolt";1965.7.9;"(20) 4579865"
1062;"Szabó János";1950.6.3;"(30) 1402436"
1063;"Baranyai Roland";1946.5.11;"(20) 1402198"
1064;"Molnár Katalin";1937.4.26;"(30) 1155920"
1065;"Varga Péter";1970.6.11;"(70) 1835184"
1066;"Békési Brigitta";1975.1.19;"(20) 4482425"
1067;"Darázs András";1949.5.21;"(20) 4346083"
1068;"Abonyi Enikõ";1936.8.15;"(20) 3631075"
1069;"Magyar Sára";1922.7.20;"(20) 1676577"
1070;"Kalas Tibor";1954.5.1;"(20) 4894257"
1071;"Kelemen Judit";1939.10.14;"(30) 4504452"
1072;"Bethlen András";1971.2.24;"(30) 2041802"
1073;"Nyúzó Roland";1921.2.16;"(20) 4894982"
1074;"Kaló Anikó";1944.6.25;"(20) 3130961"
1075;"Kalányos Mátyás";1950.6.10;"(30) 2923375"
1076;"Bethlen Helga";1943.5.1;"(30) 3365461"
1077;"Koller Dávid";1963.4.16;"(20) 3012485"
1078;"Kiss Ferenc";1953.2.27;"(20) 4652025"
1079;"Abonyi Zita";1936.1.15;"(20) 3973340"
1080;"Zsengellér Dávid";1923.10.11;"(70) 3787205"
1081;"Nyúzó Edina";1961.6.13;"(20) 2152766"
1082;"Kelemen Andrea";1974.8.24;"(30) 2361413"
1083;"Verpeléti Pál";1920.3.2;"(30) 2271784"
1084;"Solymos Ilona";1924.8.20;"(30) 3400758"
1085;"Nagy Brigitta";1937.11.18;"(70) 1839676"
1086;"Magyar Dávid";1959.1.3;"(30) 3355132"
1087;"Hegyi János";1931.9.10;"(70) 4680399"
1088;"Zsikla Ilona";1943.6.11;"(70) 2241953"
1089;"Kelemen Ilona";1928.8.5;"(30) 4588665"
1090;"Horkai Zita";1978.2.28;"(20) 1025769"
1091;"Lengyel Bernadett";1966.6.8;"(20) 1532509"
1092;"Koller Dénes";1962.9.2;"(30) 1361246"
1093;"Kiss Bernadett";1949.5.14;"(30) 2004974"
1094;"Cseszneki Sára";1954.6.2;"(70) 2559046"
1095;"Szekeres Barbara";1973.5.2;"(30) 2075797"
1096;"Kuhárszky Barbara";1949.8.27;"(30) 3212243"
1097;"Kalányos Kitti";1963.3.7;"(70) 3093355"
1098;"Antal Tibor";1929.5.4;"(30) 3607615"
1099;"Darázs László";1972.3.12;"(30) 4647831"
1100;"Csikós Brigitta";1961.4.23;"(30) 1528097"
1101;"Szabó Andrea";1966.6.26;"(70) 4194817"
1102;"Cseszneki Mátyás";1940.12.25;"(30) 2546132"
1103;"Kelemen László";1952.5.13;"(30) 1801025"
1104;"Szekeres Edina";1969.7.30;"(70) 2218902"
1105;"Császár Mariann";1939.4.1;"(20) 4070852"
1106;"Kuhárszky Péter";1963.4.6;"(30) 3626702"
1107;"Magyar Bálint";1929.4.18;"(30) 1307426"
1108;"Halmos Mátyás";1954.7.11;"(20) 2072869"
1109;"Hegyi András";1944.10.13;"(30) 3610559"
1110;"Cseszneki Nikolett";1941.8.21;"(20) 3967505"
1111;"Kelemen Ferenc";1965.2.19;"(30) 3362266"
1112;"Koller Nikolett";1930.11.30;"(30) 4843815"
1113;"Csikós Edina";1964.10.17;"(70) 2551937"
1114;"Turai Edina";1962.4.22;"(30) 4618903"
1115;"Vállas Edina";1944.3.6;"(70) 4296528"
1116;"Varga Géza";1950.8.10;"(30) 2651937"
1117;"Kovács Zsuzsanna";1972.10.9;"(70) 4325391"
1118;"Csutor Barbara";1978.1.5;"(70) 1610730"
1119;"Solymos Géza";1933.6.27;"(30) 3651361"
1120;"Tolnai Miklós";1971.12.22;"(20) 1240737"
1121;"Megyeri András";1921.7.20;"(20) 3433673"
1122;"Vörös Ferenc";1970.2.27;"(30) 3054312"
1123;"Koller Gabriella";1959.7.7;"(20) 4291118"
1124;"Hegyi Attila";1972.10.22;"(30) 4377420"
1125;"Zsikla Nikolett";1924.6.28;"(70) 1959273"
1126;"Szekeres Bálint";1932.2.25;"(30) 1611430"
1127;"Zsolnai Georgina";1927.4.21;"(20) 3608681"
1128;"Kaló Géza";1967.3.27;"(20) 2428383"
1129;"Horkai Zsolt";1951.5.21;"(30) 2182020"
1130;"Kaló Ferenc";1944.3.26;"(20) 2512010"
1131;"Vörös Zsuzsanna";1940.3.15;"(30) 1542740"
1132;"Kertész Kitti";1946.9.26;"(30) 1215040"
1133;"Horkai Miklós";1933.4.3;"(70) 1917367"
1134;"Zsolnai Nikolett";1929.7.28;"(20) 3692959"
1135;"Major Sándor";1933.7.3;"(20) 1693790"
1136;"Szekeres Ferenc";1924.10.27;"(70) 4651436"
1137;"Szûcs Alajos";1934.11.24;"(30) 4423695"
1138;"Kuhárszky Pál";1957.2.28;"(30) 4289047"
1139;"Magyar Tibor";1972.7.6;"(70) 3724029"
1140;"Szekeres Sára";1962.2.11;"(30) 4942021"
1141;"Zsikla Miklós";1957.7.29;"(30) 2998825"
1142;"Józsa Katalin";1964.3.11;"(70) 1079872"
1143;"Abonyi Gabriella";1946.8.27;"(20) 1619056"
1144;"Szekeres Dávid";1945.2.1;"(30) 2288416"
1145;"Kelemen Brigitta";1965.5.17;"(70) 4063043"
1146;"Illés Georgina";1923.4.22;"(30) 1152953"
1147;"Verpeléti Zsófia";1935.11.27;"(20) 1734848"
1148;"Vállas Judit";1927.2.15;"(30) 2806018"
1149;"Kertész Zsófia";1929.3.13;"(70) 2143055"
1150;"Vörös András";1979.10.19;"(70) 2653443"
1151;"Solymos Andrea";1954.11.8;"(20) 1368868"
1152;"Kelemen Zsófia";1961.10.10;"(70) 2598510"
1153;"Magyar Sára";1923.12.2;"(30) 3100305"
1154;"Kertész András";1967.6.16;"(20) 1734269"
1155;"Csutor János";1968.2.24;"(30) 3673779"
1156;"Vállas Dániel";1948.12.21;"(30) 4318413"
1157;"Kalas Kitti";1978.2.20;"(70) 4566223"
1158;"Kalas Zita";1973.2.23;"(30) 4882537"
1159;"Solymos Judit";1933.1.25;"(30) 2595788"
1160;"Szekeres Mariann";1941.9.10;"(30) 4204492"
1161;"Szekeres Etelka";1945.2.3;"(70) 3312735"
1162;"Balajti Kitti";1929.6.13;"(70) 4416257"
1163;"Horkai Zoltán";1947.1.19;"(20) 1338711"
1164;"Nagy Dávid";1971.4.2;"(30) 3130883"
1165;"Filkor Mátyás";1958.6.9;"(30) 3313995"
1166;"Eszes Sándor";1947.4.4;"(20) 2806498"
1167;"Kuhárszky Barbara";1935.11.28;"(20) 2931911"
1168;"Megyeri Katalin";1930.9.28;"(70) 4568850"
1169;"Csikós Dénes";1921.6.6;"(70) 1975468"
1170;"Zsikla Alajos";1969.11.13;"(20) 4112570"
1171;"Antal Barbara";1946.6.24;"(20) 1413687"
1172;"Békési Bálint";1936.3.2;"(30) 1597231"
1173;"Verpeléti Andrea";1941.5.1;"(70) 2678069"
1174;"Kelemen Miklós";1943.9.1;"(70) 3102230"
1175;"Hegyi Zoltán";1968.2.16;"(20) 1158630"
1176;"Csikós Géza";1962.9.24;"(30) 3820263"
1177;"Vállas Klaudia";1920.1.28;"(30) 2784957"
1178;"Kalas Lehel";1959.8.3;"(20) 3379545"
1179;"Molnár Georgina";1977.1.6;"(70) 1665315"
1180;"Csutor Sándor";1927.4.25;"(20) 3915769"
1181;"Varga Etelka";1926.6.19;"(20) 4852002"
1182;"Hertelendi Katalin";1966.1.16;"(30) 3462044"
1183;"Koltai Zoltán";1972.8.19;"(30) 3258775"
1184;"Kuhárszky János";1922.8.15;"(20) 2512514"
1185;"Baranyai Lajos";1947.1.6;"(20) 3414453"
1186;"Tolnai Judit";1965.7.2;"(70) 2879796"
1187;"Major Dávid";1947.8.2;"(70) 1224293"
1188;"Kovács Anikó";1968.12.9;"(30) 1869061"
1189;"Braun Miklós";1944.9.14;"(30) 1719331"
1190;"Koltai Mátyás";1976.5.30;"(20) 4136263"
1191;"Kelemen Andrea";1932.8.8;"(70) 2477195"
1192;"Szûcs Mátyás";1952.12.10;"(20) 1792659"
1193;"Szûcs Mariann";1949.9.6;"(30) 2982003"
1194;"Nyúzó Kitti";1936.12.4;"(20) 4438372"
1195;"Zsikla Miklós";1936.5.7;"(70) 3853034"
1196;"Tolnai Miklós";1923.11.14;"(20) 1727968"
1197;"Magyar Dávid";1963.12.22;"(30) 2123301"
1198;"Józsa Katalin";1938.10.4;"(20) 4184666"
1199;"Koltai Anikó";1973.8.14;"(20) 3258884"
1200;"Nagy Kitti";1942.5.26;"(30) 4359576"
1201;"Vállas Nikolett";1978.2.10;"(20) 3499838"
1202;"Tóth Szonja";1929.5.8;"(70) 2185767"
1203;"Illés Dénes";1970.12.10;"(30) 3427089"
1204;"Antal Zsolt";1968.9.27;"(20) 1830460"
1205;"Zoltai Gabriella";1929.9.15;"(20) 1468323"
1206;"Koller Attila";1968.9.21;"(30) 3847212"
1207;"Kovács Szonja";1944.11.25;"(30) 1237385"
1208;"Kisteleki Kitti";1925.9.11;"(30) 3203066"
1209;"Hertelendi Szonja";1936.4.26;"(30) 3546286"
1210;"Békési Kitti";1931.2.7;"(20) 1016267"
1211;"Kalányos András";1952.10.16;"(20) 1473261"
1212;"Józsa Helga";1921.3.15;"(20) 1157989"
1213;"Nagy Lehel";1928.3.5;"(70) 4163600"
1214;"Zsengellér Roland";1929.2.21;"(70) 2445097"
1215;"Balajti Katalin";1966.9.10;"(30) 3281667"
1216;"Kaló Pál";1945.2.15;"(20) 1974893"
1217;"Hegyi Péter";1969.5.21;"(20) 2040900"
1218;"Zsikla Georgina";1955.12.28;"(30) 2083237"
1219;"Eszes Georgina";1961.10.11;"(70) 3495890"
1220;"Braun Sára";1955.11.19;"(30) 2784302"
1221;"Vörös Zoltán";1951.7.19;"(30) 2961821"
1222;"Latorczai Roland";1946.12.10;"(20) 4146654"
1223;"Zsolnai Mátyás";1969.3.18;"(30) 3895873"
1224;"Varga Miklós";1923.7.7;"(30) 3677350"
1225;"Kiss Katalin";1936.5.7;"(30) 2721382"
1226;"Koller Géza";1940.2.6;"(30) 1013683"
1227;"Szekeres Ilona";1976.9.15;"(30) 1397515"
1228;"Csikós Barbara";1965.6.28;"(30) 2333587"
1229;"Hertelendi László";1978.3.18;"(30) 2820896"
1230;"Abonyi Tibor";1971.12.13;"(70) 1853682"
1231;"Zsolnai Dániel";1922.2.7;"(20) 1272188"
1232;"Halmos Attila";1922.1.21;"(30) 3442007"
1233;"Békési Bálint";1936.10.27;"(20) 3767319"
1234;"Kisteleki Anikó";1920.6.30;"(30) 2179275"
1235;"Nagy Bernadett";1974.11.23;"(30) 4690085"
1236;"Zsikla Klaudia";1966.7.30;"(70) 2102002"
1237;"Kelemen Anikó";1978.11.26;"(20) 1050699"
1238;"Nyúzó János";1944.11.10;"(20) 2920670"
1239;"Horkai Sándor";1959.9.21;"(30) 1008215"
1240;"Szabó Szonja";1932.12.8;"(70) 1716506"
1241;"Császár Sára";1948.5.8;"(70) 4090139"
1242;"Filkor Helga";1930.8.9;"(20) 4840382"
1243;"Békési Georgina";1946.6.10;"(20) 4996290"
1244;"Filkor Roland";1947.9.25;"(20) 1451008"
1245;"Békési Brigitta";1955.12.11;"(20) 4591353"
1246;"Tolnai Dániel";1940.4.7;"(30) 4788079"
1247;"Horkai Bernadett";1929.12.16;"(70) 2507444"
1248;"Braun Katalin";1978.7.19;"(70) 2072565"
1249;"Illés Etelka";1939.8.22;"(30) 4921437"
1250;"Tóth Anikó";1923.12.20;"(20) 4719433"
1251;"Kalányos Lajos";1974.8.22;"(30) 4922674"
1252;"Nyúzó Klaudia";1924.1.18;"(20) 1552070"
1253;"Kalányos Zoltán";1953.9.3;"(30) 3870170"
1254;"Békési Dániel";1935.1.4;"(30) 3215149"
1255;"Horkai Katalin";1928.8.15;"(30) 3969964"
1256;"Antal Katalin";1979.3.2;"(30) 2433264"
1257;"Császár Gabriella";1936.8.28;"(30) 3060582"
1258;"Császár Alajos";1933.11.19;"(20) 3957414"
1259;"Abonyi Sándor";1922.6.3;"(20) 2339604"
1260;"Kalányos Judit";1973.10.23;"(30) 3768441"
1261;"Tóth Roland";1977.2.12;"(30) 2338730"
1262;"Latorczai Zita";1968.1.28;"(30) 2814082"
1263;"Kalas Lehel";1950.8.25;"(20) 1633869"
1264;"Horkai Zsuzsanna";1949.6.27;"(20) 3710387"
1265;"Kertész Etelka";1929.12.27;"(70) 1639356"
1266;"Latorczai Zoltán";1946.9.28;"(70) 2608803"
1267;"Nyúzó Alajos";1974.7.3;"(30) 4563084"
1268;"Zoltai Sára";1974.5.4;"(30) 3216248"
1269;"Cseszneki András";1973.2.14;"(70) 1397699"
1270;"Kaló Zsolt";1926.8.3;"(30) 2995573"
1271;"Zsengellér Etelka";1947.4.12;"(20) 1525382"
1272;"Antal Sándor";1960.2.29;"(20) 3851235"
1273;"Filkor Szonja";1924.8.3;"(20) 1747088"
1274;"Filkor János";1959.2.28;"(20) 4018651"
1275;"Illés Klaudia";1933.11.20;"(20) 3520103"
1276;"Kaló Roland";1976.10.30;"(30) 4380877"
1277;"Kisteleki Sándor";1929.4.2;"(20) 2370080"
1278;"Vállas Gabriella";1975.11.24;"(20) 1608787"
1279;"Balajti Barbara";1922.10.6;"(70) 1510412"
1280;"Turai Andrea";1958.3.30;"(30) 3958572"
1281;"Koltai Ilona";1929.2.28;"(30) 2623601"
1282;"Kuhárszky Roland";1956.6.18;"(30) 4344460"
1283;"Major Pál";1923.1.8;"(30) 3427209"
1284;"Verpeléti Enikõ";1969.6.19;"(30) 3087411"
1285;"Braun Sándor";1944.7.26;"(30) 4177337"
1286;"Kovács Péter";1958.9.4;"(20) 2458320"
1287;"Lengyel Pál";1962.1.15;"(20) 3043593"
1288;"Baranyai Mariann";1953.4.5;"(20) 1528240"
1289;"Koller Ilona";1966.7.22;"(20) 1024924"
1290;"Zsolnai Bálint";1929.7.6;"(30) 4107784"
1291;"Molnár Enikõ";1970.8.8;"(30) 2269952"
1292;"Megyeri András";1930.11.9;"(30) 2680046"
1293;"Zsengellér Andrea";1954.9.26;"(70) 3514545"
1294;"Illés Dániel";1967.7.30;"(70) 2351761"
1295;"Vörös Bálint";1930.11.8;"(20) 1778071"
1296;"Horkai Tibor";1973.11.10;"(30) 2532179"
1297;"Nyúzó Mariann";1965.12.2;"(20) 2930517"
1298;"Tóth Etelka";1967.3.28;"(70) 3191873"
1299;"Tóth Kitti";1964.5.9;"(70) 2938442"
1300;"Filkor Gabriella";1923.7.17;"(30) 4022093"
1301;"Darázs Lajos";1936.1.4;"(20) 2657429"
1302;"Molnár Ferenc";1967.3.9;"(30) 2386080"
1303;"Vörös Klaudia";1936.10.1;"(30) 3818980"
1304;"Kisteleki Lehel";1940.3.1;"(20) 3391929"
1305;"Eszes Nikolett";1949.3.15;"(70) 4418967"
1306;"Megyeri Zsuzsanna";1931.10.10;"(70) 2378532"
1307;"Vállas Géza";1931.9.7;"(30) 2963833"
1308;"Hertelendi József";1963.12.13;"(70) 2649922"
1309;"Kelemen András";1929.7.24;"(30) 1017769"
1310;"Kuhárszky Sára";1969.7.29;"(30) 4486002"
1311;"Tóth Attila";1929.2.21;"(30) 3447663"
1312;"Filkor Péter";1965.7.23;"(70) 1061123"
1313;"Békési Miklós";1949.7.14;"(70) 3131743"
1314;"Magyar Zsolt";1958.12.19;"(20) 4581638"
1315;"Kovács Barbara";1933.12.13;"(20) 2393332"
1316;"Kalas Andrea";1975.6.18;"(70) 1392493"
1317;"Cseszneki Bernadett";1956.7.25;"(30) 3288304"
1318;"Vállas Mátyás";1966.1.1;"(30) 4474641"
1319;"Csikós Alajos";1949.1.5;"(70) 1434077"
1320;"Fekete Bernadett";1922.5.9;"(70) 3602033"
1321;"Braun Klaudia";1931.9.21;"(70) 3137149"
1322;"Verpeléti Brigitta";1971.6.23;"(20) 2932880"
1323;"Darázs Etelka";1965.3.29;"(70) 3681751"
1324;"Zsengellér Etelka";1949.2.21;"(70) 3427739"
1325;"Megyeri Mátyás";1929.5.13;"(30) 1333518"
1326;"Horkai Brigitta";1924.1.21;"(20) 4840326"
1327;"Major Judit";1921.3.2;"(30) 4330613"
1328;"Császár Kitti";1933.1.22;"(30) 3939131"
1329;"Kertész Zsófia";1931.8.8;"(30) 4795431"
1330;"Megyeri Enikõ";1978.11.30;"(70) 3984775"
1331;"Kiss Zsuzsanna";1948.10.27;"(70) 1804322"
1332;"Kelemen Péter";1972.8.20;"(20) 1717987"
1333;"Szabó Gabriella";1960.1.5;"(20) 1107558"
1334;"Kovács Dániel";1958.5.10;"(30) 4579770"
1335;"Csikós Bernadett";1949.10.30;"(30) 1016414"
1336;"Békési Georgina";1960.11.8;"(30) 2791930"
1337;"Kertész Enikõ";1977.7.29;"(30) 4673320"
1338;"Horkai Zsuzsanna";1934.2.4;"(30) 2156046"
1339;"Szûcs Péter";1944.12.10;"(30) 3181974"
1340;"Kalányos Andrea";1925.3.3;"(20) 2033622"
1341;"Szekeres Pál";1950.3.12;"(30) 1352507"
1342;"Latorczai Gabriella";1966.5.3;"(20) 1549066"
1343;"Solymos Tibor";1920.2.14;"(70) 1220187"
1344;"Major Andrea";1950.3.13;"(70) 3242688"
1345;"Cseszneki Tibor";1958.8.3;"(30) 3608399"
1346;"Hegyi Péter";1949.10.10;"(30) 3229657"
1347;"Verpeléti Zsolt";1971.2.15;"(30) 1423267"
1348;"Nagy Bernadett";1962.4.21;"(20) 3603116"
1349;"Kalányos Georgina";1958.7.7;"(30) 4328952"
1350;"Szekeres Enikõ";1928.3.1;"(20) 4903877"
1351;"Darázs Sára";1948.2.24;"(30) 3374339"
1352;"Braun Attila";1975.9.18;"(20) 3608208"
1353;"Kovács János";1931.3.1;"(30) 2679955"
1354;"Baranyai Ilona";1949.10.30;"(70) 2512319"
1355;"Turai Ferenc";1923.1.11;"(30) 4726894"
1356;"Verpeléti Georgina";1942.8.25;"(20) 2491215"
1357;"Horkai Gabriella";1962.9.6;"(20) 1445047"
1358;"Antal Lajos";1924.2.4;"(30) 2028693"
1359;"Tolnai Judit";1924.3.14;"(30) 1705170"
1360;"Kuhárszky Brigitta";1959.2.6;"(20) 4927450"
1361;"Tolnai Ferenc";1975.7.16;"(30) 3035162"
1362;"Solymos László";1932.1.23;"(30) 3863178"
1363;"Józsa Lajos";1936.10.15;"(70) 4339872"
1364;"Baranyai Roland";1920.3.21;"(70) 2565288"
1365;"Horkai János";1920.7.4;"(20) 4158544"
1366;"Józsa Lehel";1944.8.14;"(30) 4077544"
1367;"Megyeri Roland";1932.9.22;"(70) 3609708"
1368;"Balajti Pál";1934.12.7;"(70) 1561130"
1369;"Zoltai János";1948.8.4;"(20) 4371924"
1370;"Koller Mariann";1940.3.19;"(20) 3402196"
1371;"Józsa Lajos";1938.8.2;"(30) 2408894"
1372;"Vállas Kitti";1955.8.2;"(30) 1401710"
1373;"Halmos Brigitta";1974.3.1;"(70) 1377867"
1374;"Békési Andrea";1976.7.12;"(20) 4668008"
1375;"Solymos Etelka";1975.12.16;"(30) 3233064"
1376;"Solymos Sára";1948.8.7;"(20) 4610013"
1377;"Nagy Kitti";1940.11.5;"(20) 2486850"
1378;"Bethlen Attila";1977.5.30;"(30) 1146523"
1379;"Baranyai Bernadett";1942.2.22;"(30) 1540614"
1380;"Major Lajos";1924.10.16;"(30) 3286556"
1381;"Abonyi Lajos";1953.5.11;"(20) 3561870"
1382;"Kelemen Mátyás";1952.3.11;"(30) 4331140"
1383;"Kalas Mariann";1956.7.21;"(20) 2638927"
1384;"Filkor Etelka";1925.3.1;"(20) 1293075"
1385;"Turai Ferenc";1927.6.8;"(30) 1631447"
1386;"Nyúzó Anikó";1926.7.3;"(70) 1467579"
1387;"Kaló Anikó";1971.1.3;"(70) 3848937"
1388;"Császár Zsófia";1976.6.18;"(30) 1614088"
1389;"Abonyi Georgina";1927.9.22;"(20) 2769940"
1390;"Antal Zsolt";1955.7.30;"(20) 3525299"
1391;"Filkor Mátyás";1956.5.10;"(30) 2773410"
1392;"Halmos Nikolett";1955.5.13;"(30) 4572917"
1393;"Kalas Etelka";1960.2.14;"(70) 3801278"
1394;"Nagy Lehel";1936.2.5;"(30) 1463507"
1395;"Illés Szonja";1961.7.24;"(30) 2427059"
1396;"Békési Zoltán";1944.6.19;"(30) 4827334"
1397;"Kalányos Bálint";1932.11.8;"(30) 1775572"
1398;"Nagy Gabriella";1936.6.12;"(70) 4134979"
1399;"Eszes Sára";1979.8.25;"(70) 2696841"
1400;"Horkai Zsófia";1921.4.23;"(70) 3490557"
1401;"Balajti László";1944.7.12;"(70) 2424560"
1402;"Molnár Mariann";1968.6.20;"(30) 3677250"
1403;"Józsa József";1968.2.14;"(70) 2429290"
1404;"Hegyi Lajos";1956.7.6;"(20) 3436640"
1405;"Magyar Géza";1960.3.28;"(20) 4918984"
1406;"Antal Alajos";1936.11.9;"(30) 1622193"
1407;"Hegyi Zsófia";1952.9.21;"(30) 3636797"
1408;"Bethlen Szonja";1920.9.28;"(30) 1413712"
1409;"Eszes Zsófia";1933.9.10;"(20) 2052392"
1410;"Hertelendi Anikó";1975.2.14;"(20) 4708952"
1411;"Major Georgina";1956.6.4;"(30) 2367906"
1412;"Verpeléti János";1958.1.20;"(20) 2348369"
1413;"Cseszneki Lehel";1927.4.5;"(30) 4599445"
1414;"Császár Szonja";1952.8.13;"(20) 3992888"
1415;"Lengyel Helga";1964.3.9;"(70) 3711440"
1416;"Baranyai Zoltán";1979.7.10;"(20) 1099752"
1417;"Zsikla Sára";1971.4.26;"(70) 2249606"
